"Season","Colony","Nest","Laying_date","ring","sex","Mate_ID","Final_clutch_size","Focal_Seasons","succ","Mate_Seasons","predation","Pair","total_pair_duration_nogaps","breeding_exp_pair_days","breeding_exp_Focal_nogaps","breeding_exp_Mate_nogaps","breeding_exp_Focal_days","breeding_exp_Mate_days","N_of_life_partners_Focal","N_of_life_partners_Mate","Clutch_size","N_hatched","succ_from_hatch","hatch_succ","season_of_protection","Col_Size","Focal_MinAge","Mate_MinAge","egg_mass","unique_ID","ColNestLaying","tarsus_Focal","tarsus_Mate","fledging_mass","wing_chick","ringer","Relaying_int","Fate_clutch","Group_Size"
"2010/2011",6,"2","11-10-10","Focal_ID_1",2,"Mate_ID_1",3,NA,0,5,"natural","Pair_ID_1",4,0,3,3,683,750,2,3,3,2,0,1,NA,10,1077,2068,NA,"6_2_2010-10-11_X","6_2_2010-10-11",23.72428571,23.76625,NA,NA,"",60,"failed_chicks",NA
"2010/2011",6,"2","11-10-10","Focal_ID_1",2,"Mate_ID_1",3,NA,0,5,"natural","Pair_ID_1",4,0,3,3,683,750,2,3,3,2,0,1,NA,10,1077,2068,NA,"6_2_2010-10-11_XX","6_2_2010-10-11",23.72428571,23.76625,NA,NA,"",60,"failed_chicks",NA
"2010/2011",6,"2","11-10-10","Focal_ID_1",2,"Mate_ID_1",3,NA,0,5,"natural","Pair_ID_1",4,0,3,3,683,750,2,3,3,2,NA,0,NA,10,1077,2068,NA,"6_2_2010-10-11_XXX","6_2_2010-10-11",23.72428571,23.76625,NA,NA,"",60,"failed_chicks",NA
"2012/2013",8,"12B","24-09-12","Focal_ID_2",2,"Mate_ID_2",3,NA,1,12,"protected","Pair_ID_2",4,646,3,3,646,646,4,3,3,2,1,1,3,46,4394,4585,2.56,"8_12B_2012-09-24_I","8_12B_2012-09-24",24.06111111,23.535,NA,NA,"matthieu paquet",16,"successful",NA
"2012/2013",8,"12B","24-09-12","Focal_ID_2",2,"Mate_ID_2",3,NA,0,12,"protected","Pair_ID_2",4,646,3,3,646,646,4,3,3,2,0,1,3,46,4394,4585,2.6,"8_12B_2012-09-24_II","8_12B_2012-09-24",24.06111111,23.535,NA,NA,"",16,"successful",NA
"2012/2013",8,"12B","24-09-12","Focal_ID_2",2,"Mate_ID_2",3,NA,0,12,"protected","Pair_ID_2",4,646,3,3,646,646,4,3,3,2,NA,0,3,46,4394,4585,2.437,"8_12B_2012-09-24_III","8_12B_2012-09-24",24.06111111,23.535,NA,NA,"",16,"successful",NA
"2012/2013",8,"13B","24-09-12","Focal_ID_3",2,"Mate_ID_3",3,NA,1,NA,"protected","Pair_ID_3",4,655,3,3,655,655,2,1,3,3,1,1,3,46,3660,1794,2.577,"8_13B_2012-09-24_I","8_13B_2012-09-24",23.49428571,24.3225,29.72,60,"matthieu paquet",19,"successful",NA
"2012/2013",8,"13B","24-09-12","Focal_ID_3",2,"Mate_ID_3",3,NA,1,NA,"protected","Pair_ID_3",4,655,3,3,655,655,2,1,3,3,1,1,3,46,3660,1794,2.462,"8_13B_2012-09-24_II","8_13B_2012-09-24",23.49428571,24.3225,28.7,57.5,"matthieu paquet",19,"successful",NA
"2012/2013",8,"13B","24-09-12","Focal_ID_3",2,"Mate_ID_3",3,NA,1,NA,"protected","Pair_ID_3",4,655,3,3,655,655,2,1,3,3,1,1,3,46,3660,1794,2.276,"8_13B_2012-09-24_III","8_13B_2012-09-24",23.49428571,24.3225,27.46,52,"matthieu paquet",19,"successful",NA
"2012/2013",11,"17","27-09-12","Focal_ID_4",2,"Mate_ID_4",3,NA,0,NA,"protected","Pair_ID_4",2,0,3,1,676,0,2,1,3,0,NA,0,3,31,1482,3081,2.682,"11_17_2012-09-27_I","11_17_2012-09-27",23.48,23.192,NA,NA,"",5,"failed_eggs",NA
"2012/2013",11,"17","27-09-12","Focal_ID_4",2,"Mate_ID_4",3,NA,0,NA,"protected","Pair_ID_4",2,0,3,1,676,0,2,1,3,0,NA,0,3,31,1482,3081,2.433,"11_17_2012-09-27_II","11_17_2012-09-27",23.48,23.192,NA,NA,"",5,"failed_eggs",NA
"2012/2013",11,"17","27-09-12","Focal_ID_4",2,"Mate_ID_4",3,NA,0,NA,"protected","Pair_ID_4",2,0,3,1,676,0,2,1,3,0,NA,0,3,31,1482,3081,2.32,"11_17_2012-09-27_III","11_17_2012-09-27",23.48,23.192,NA,NA,"",5,"failed_eggs",NA
"2012/2013",27,"42","02-10-12","Focal_ID_5",2,"Mate_ID_5",3,NA,1,NA,"protected","Pair_ID_5",1,0,3,1,646,0,2,1,3,3,1,1,1,15,1500,3754,2.594,"27_42_2012-10-02_I","27_42_2012-10-02",22.815,23.36,33.92,59.5,"matthieu paquet",35,"successful",2.5
"2012/2013",27,"42","02-10-12","Focal_ID_5",2,"Mate_ID_5",3,NA,1,NA,"protected","Pair_ID_5",1,0,3,1,646,0,2,1,3,3,1,1,1,15,1500,3754,2.537,"27_42_2012-10-02_II","27_42_2012-10-02",22.815,23.36,31.99,60,"matthieu paquet",35,"successful",2.5
"2012/2013",27,"42","02-10-12","Focal_ID_5",2,"Mate_ID_5",3,NA,0,NA,"protected","Pair_ID_5",1,0,3,1,646,0,2,1,3,3,0,1,1,15,1500,3754,2.481,"27_42_2012-10-02_III","27_42_2012-10-02",22.815,23.36,NA,NA,"",35,"successful",2.5
"2012/2013",20,"8","14-10-12","Focal_ID_6",2,"Mate_ID_6",3,NA,0,NA,"protected","Pair_ID_6",2,0,3,1,642,0,2,1,3,0,NA,0,2,25,900,1180,2.954,"20_8_2012-10-14_X","20_8_2012-10-14",23.51333333,24.2925,NA,NA,"",25,"failed_eggs",NA
"2012/2013",20,"8","14-10-12","Focal_ID_6",2,"Mate_ID_6",3,NA,0,NA,"protected","Pair_ID_6",2,0,3,1,642,0,2,1,3,0,NA,0,2,25,900,1180,2.682,"20_8_2012-10-14_XX","20_8_2012-10-14",23.51333333,24.2925,NA,NA,"",25,"failed_eggs",NA
"2012/2013",20,"8","14-10-12","Focal_ID_6",2,"Mate_ID_6",3,NA,0,NA,"protected","Pair_ID_6",2,0,3,1,642,0,2,1,3,0,NA,0,2,25,900,1180,2.819,"20_8_2012-10-14_XXX","20_8_2012-10-14",23.51333333,24.2925,NA,NA,"",25,"failed_eggs",NA
"2012/2013",38,"87B","14-10-12","Focal_ID_7",2,"Mate_ID_7",3,NA,0,6,"natural","Pair_ID_7",1,0,3,1,636,0,1,1,3,3,0,1,NA,53,3262,2414,2.316,"38_87B_2012-10-14_III","38_87B_2012-10-14",22.49666667,23.87333333,NA,NA,"",NA,NA,NA
