"Season","Colony","ring","sex","Mate_ID","Focal_Seasons","Mate_Seasons","Mate_min_Seasons","Focal_min_Seasons","predation","Pair","julian_date_first","days_to_last_brood","total_pair_duration","total_pair_duration_nogaps","N_Clutches_Pair","N_Clutches_Focal","breeding_exp_pair_nogaps","breeding_exp_Focal","breeding_exp_Focal_nogaps","breeding_exp_Mate","breeding_exp_Mate_nogaps","breeding_exp_Focal_days_season","breeding_exp_Mate_days_season","N_of_life_partners_Focal","N_of_life_partners_Mate","breeding_exp_pair_days_season","tot_fitness","N_eggs_season","Season_Focal","Season_Mate","season_length_population","recruitment_age_Focal","recruitment_age_Mate","Clutch_size_pair_season_mean","N_Clutches_Mate","N_Clutches_Pair_succ","N_hatched","lifespan_min_Focal","lifespan_min_Mate","lifespan_exact_Focal","lifespan_exact_Mate","prop_succ_breeding_attempt","Focal.cohort","Mate.cohort","season_length","season_of_protection","Col_Size","season_start","Min_Age_Focal_season_days","Min_Age_Mate_season_days","breeding_exp_pair_days_season_earliest","breeding_exp_Focal_days_season_earliest","breeding_exp_Mate_days_season_earliest","Min_Age_Focal_season_days_earliest","Min_Age_Mate_season_days_earliest"
"2010/2011",20,"BH35771","2","BH22632",NA,NA,8,NA,"protected","BH35771_BH22632",86,71,5,7,1,1,3,2,3,2,3,764,764,1,1,764,2,3,"2010/2011_BH35771","2010/2011_BH22632",156,NA,NA,3,1,1,2,NA,12,NA,NA,1,NA,NA,71,1,21,"2011-01-01",NA,3016,764,764,764,NA,3016
"2010/2011",25,"BH18714","2","BH09773",6,NA,9,6,"natural","BH18714_BH09773",78,79,1,1,1,1,1,2,3,1,1,749,0,3,1,0,3,3,"2010/2011_BH18714","2010/2011_BH09773",156,NA,NA,3,1,1,3,10,9,10,NA,1,2004,NA,79,NA,28,"2010-12-24",2229,3388,0,749,0,2229,3388
"2010/2011",27,"BH70762","2","BH70880",NA,NA,2,3,"natural","BH70762_BH70880",81,76,1,1,1,1,1,2,3,1,1,753,0,2,1,0,1,3,"2010/2011_BH70762","2010/2011_BH70880",156,NA,NA,3,1,1,3,3,2,NA,NA,1,NA,NA,76,NA,36,"2010-12-27",1144,855,0,753,0,1144,855
"2012/2013",8,"BH22622","2","BC79188",NA,NA,5,10,"protected","BH22622_BC79188",52,32,3,4,3,3,3,3,3,2,3,770,770,2,1,770,3,10,"2012/2013_BH22622","2012/2013_BC79188",149,NA,NA,3.4,3,1,4,12,7,NA,NA,0.333333333333333,NA,NA,98,3,40,"2012-11-12",3775,1909,704,704,704,3709,1843
"2012/2013",8,"BH22622","2","BC79188",NA,NA,5,10,"protected","BH22622_BC79188",52,32,3,4,3,3,3,3,3,2,3,770,770,2,1,770,3,10,"2012/2013_BH22622","2012/2013_BC79188",149,NA,NA,3.4,3,1,NA,12,7,NA,NA,0.333333333333333,NA,NA,98,3,40,"2012-11-12",3775,1909,704,704,704,3709,1843
"2012/2013",8,"BH70874","2","BH70906",NA,NA,4,4,"protected","BH70874_BH70906",106,43,1,1,1,1,1,2,3,2,3,818,748,2,2,0,3,4,"2012/2013_BH70874","2012/2013_BH70906",149,NA,NA,4,1,1,3,4,4,NA,NA,1,NA,NA,43,3,40,"2013-01-06",1597,1588,0,818,748,1597,1588
"2012/2013",8,"BH22622","2","BC79188",NA,NA,5,10,"protected","BH22622_BC79188",52,32,3,4,3,3,3,3,3,2,3,770,770,2,1,770,3,10,"2012/2013_BH22622","2012/2013_BC79188",149,NA,NA,3.4,3,1,3,12,7,NA,NA,0.333333333333333,NA,NA,98,3,40,"2012-11-12",3775,1909,704,704,704,3709,1843
"2012/2013",8,"BH85207","2","BH76505",NA,NA,4,3,"protected","BH85207_BH76505",76,73,4,4,1,1,1,2,3,1,1,785,0,2,1,0,3,5,"2012/2013_BH85207","2012/2013_BH76505",149,NA,NA,5,1,1,4,6,7,NA,NA,1,NA,NA,74,3,40,"2012-12-06",1043,1229,0,785,0,1043,1229
"2012/2013",8,"BC98895","2","BC98494",NA,12,13,12,"protected","BC98895_BC98494",49,100,3,4,1,1,3,2,3,3,3,759,759,2,2,759,3,4,"2012/2013_BC98895","2012/2013_BC98494",149,NA,NA,4,1,1,3,14,14,NA,14,1,NA,2000,101,3,40,"2012-11-09",4440,4631,759,759,759,4440,4631
"2012/2013",8,"BH24067","2","BC79168",NA,NA,5,10,"protected","BH24067_BC79168",8,6,2,3,4,4,3,2,3,2,3,774,774,1,3,774,0,11,"2012/2013_BH24067","2012/2013_BC79168",149,NA,NA,2.81818181818182,4,NA,1,10,7,NA,NA,NA,NA,NA,142,3,40,"2012-09-29",3559,1935,638,638,638,3423,1799
